seed,success,runtime_s,category,collision_check_time_s,feature_time_s,sample_time_s,nearest_time_s,goal_test_time_s,extend_direct_time_s,extend_tree_time_s,extend_goal_time_s,attempts,iterations,nodes_created,poses_checked,collision_hits
0,1,0.0778,success,0.000388,2.9e-05,0.001203,0.0247,0.000867,0.001287,0.047853,1.2e-05,1.0,45.0,599.0,612.0,14.0
1,1,0.1616,success,0.000112,1.7e-05,0.001354,0.059977,0.001543,0.001031,0.096989,8e-06,1.0,112.0,1438.0,1477.0,40.0
2,1,0.2894,success,0.000287,2.2e-05,0.002654,0.125362,0.003047,0.001074,0.155817,1.7e-05,1.0,146.0,1938.0,1983.0,46.0
3,1,0.0635,success,0.000112,2e-05,0.000768,0.013669,0.000655,0.001144,0.046743,1.2e-05,1.0,53.0,690.0,711.0,22.0
4,1,0.1341,success,0.000145,2e-05,0.00136,0.042825,0.001222,0.001046,0.086957,8e-06,1.0,101.0,1150.0,1194.0,45.0
5,1,0.0576,success,0.000104,1.6e-05,0.000497,0.012735,0.000561,0.001029,0.042406,5e-06,1.0,59.0,664.0,692.0,29.0
6,1,0.0691,success,0.000108,1.7e-05,0.000652,0.018179,0.000556,0.001005,0.048068,7e-06,1.0,80.0,731.0,779.0,49.0
7,1,0.4253,success,0.000136,2.1e-05,0.002174,0.235567,0.002797,0.000981,0.181102,7e-06,1.0,246.0,2907.0,2990.0,84.0
8,1,0.2894,success,9.9e-05,1.7e-05,0.001931,0.144169,0.001985,0.001008,0.139531,5e-06,1.0,206.0,2092.0,2185.0,94.0
9,1,0.2943,success,0.000109,1.7e-05,0.00321,0.123222,0.004408,0.001055,0.161366,5e-06,1.0,165.0,1641.0,1702.0,62.0
